Items,Time-interval,Support in percent,
"('Diaper', 'Bread')","[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-07-31 12:26:00')], [Timestamp('2020-08-09 12:26:00'), Timestamp('2020-08-18 12:26:00')]]","[['32.47'], ['35.29']]",
"('Diaper', 'Cheese')","[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-07-31 12:26:00')], [Timestamp('2020-08-12 12:26:00'), Timestamp('2020-08-18 12:26:00')]]","[['28.57'], ['28.99']]",
"('Diaper', 'Meat')","[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-07-31 12:26:00')], [Timestamp('2020-08-09 12:26:00'), Timestamp('2020-08-18 12:26:00')]]","[['28.38'], ['23.96']]",
"('Diaper', 'Pencil')","[[Timestamp('2020-08-09 12:26:00'), Timestamp('2020-08-14 12:26:00')]]",[['30.19']],
"('Diaper', 'Wine')","[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-08-07 12:26:00')], [Timestamp('2020-08-14 12:26:00'), Timestamp('2020-08-22 12:26:00')]]","[['24.18'], ['26.88']]",
"('Meat', 'Bagel')","[[Timestamp('2020-08-17 12:26:00'), Timestamp('2020-08-22 12:26:00')]]",[['23.73']],
"('Meat', 'Bread')","[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-08-07 12:26:00')]]",[['22.88']],
"('Meat', 'Eggs')","[[Timestamp('2020-07-29 12:26:00'), Timestamp('2020-08-14 12:26:00')], [Timestamp('2020-08-16 12:26:00'), Timestamp('2020-08-22 12:26:00')]]","[['28.73'], ['27.78']]",
"('Milk', 'Bagel')","[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-08-05 12:26:00')], [Timestamp('2020-08-07 12:26:00'), Timestamp('2020-08-22 12:26:00')]]","[['25.98'], ['24.05']]",
"('Milk', 'Bread')","[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-08-22 12:26:00')]]",[['28.66']],
"('Milk', 'Cheese')","[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-08-03 12:26:00')], [Timestamp('2020-08-05 12:26:00'), Timestamp('2020-08-21 12:26:00')]]","[['36.70'], ['30.27']]",
"('Milk', 'Diaper')","[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-07-31 12:26:00')], [Timestamp('2020-08-14 12:26:00'), Timestamp('2020-08-18 12:26:00')]]","[['23.94'], ['25.00']]",
"('Milk', 'Eggs')","[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-08-03 12:26:00')], [Timestamp('2020-08-05 12:26:00'), Timestamp('2020-08-21 12:26:00')]]","[['27.36'], ['26.23']]",
"('Milk', 'Meat')","[[Timestamp('2020-07-29 12:26:00'), Timestamp('2020-08-14 12:26:00')], [Timestamp('2020-08-16 12:26:00'), Timestamp('2020-08-22 12:26:00')]]","[['25.41'], ['28.99']]",
"('Milk', 'Wine')","[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-07-30 12:26:00')], [Timestamp('2020-08-11 12:26:00'), Timestamp('2020-08-17 12:26:00')]]","[['33.33'], ['28.38']]",
"('Pencil', 'Bread')","[[Timestamp('2020-07-30 12:26:00'), Timestamp('2020-08-15 12:26:00')], [Timestamp('2020-08-17 12:26:00'), Timestamp('2020-08-22 12:26:00')]]","[['22.65'], ['22.81']]",
"('Wine', 'Bread')","[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-08-22 12:26:00')]]",[['24.44']],
"('Wine', 'Eggs')","[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-08-09 12:26:00')], [Timestamp('2020-08-11 12:26:00'), Timestamp('2020-08-22 12:26:00')]]","[['25.75'], ['25.78']]",
"('Wine', 'Meat')","[[Timestamp('2020-07-25 12:27:00'), Timestamp('2020-07-30 12:26:00')], [Timestamp('2020-08-01 12:26:00'), Timestamp('2020-08-17 12:26:00')]]","[['34.38'], ['25.71']]",
"('Wine', 'Pencil')","[[Timestamp('2020-07-30 12:26:00'), Timestamp('2020-08-06 12:26:00')], [Timestamp('2020-08-17 12:26:00'), Timestamp('2020-08-22 12:26:00')]]","[['23.81'], ['24.59']]",
